numberOfItems,greedy,dynamicProgramming
1000,12519,12614,
1100,16007,16013,
1200,17833,17870,
1300,18188,18238,
1400,19851,19879,
1500,24131,24204,
1600,23228,23283,
1700,27307,27421,
1800,29473,29493,
1900,30858,30929,
2000,28458,28586,
2100,40248,40329,
2200,37729,37738,
2300,47624,47690,
2400,51537,51750,
2500,48105,48124,
2600,57692,57776,
2700,60246,60246,
2800,62344,62484,
2900,66964,67079,
3000,69557,69615,
3100,67680,67802,
3200,74295,74338,
3300,74787,74837,
3400,74616,74616,
3500,76998,77159,
3600,86459,86459,
3700,92194,92213,
3800,91295,91416,
3900,92636,92673,
4000,103727,103922,
4100,114623,114715,
4200,100643,100824,
4300,108794,108986,
4400,115524,115743,
4500,126781,126840,
4600,134691,134844,
4700,115658,115696,
4800,140932,141040,
4900,120707,120864,
5000,138931,139230,
5100,143450,143495,
5200,151895,152012,
5300,151644,151745,
5400,159565,159655,
5500,166671,166733,
5600,163991,164063,
5700,161467,161486,
5800,170039,170257,
5900,193684,193748,
6000,179981,180131,
6100,208677,208677,
6200,218311,218611,
6300,203717,203987,
6400,219261,219323,
6500,226380,226380,
6600,206728,206899,
6700,231504,231566,
6800,225351,225413,
6900,222680,222770,
7000,222507,222507,
7100,241403,241484,
7200,230562,231166,
7300,251728,252057,
7400,245945,246054,
7500,227822,228025,
7600,263256,263443,
7700,244405,244453,
7800,246815,247063,
7900,303591,303662,
8000,285941,285980,
8100,296835,296901,
8200,304752,304963,
8300,288378,288646,
8400,321479,321570,
8500,283112,283166,
8600,264889,264981,
8700,328125,328254,
8800,338512,338692,
8900,290766,291182,
9000,327503,327556,
9100,337525,337606,
9200,365918,366078,
9300,350572,350867,
9400,363332,363409,
9500,373110,373590,
9600,360577,360664,
9700,381265,381372,
9800,385675,386016,
9900,397236,397293,
10000,387810,388292,
