numberOfItems,greedy,dynamicProgramming
1000,175,6953,
1100,160,7809,
1200,155,9819,
1300,171,10714,
1400,186,12393,
1500,209,14358,
1600,209,16307,
1700,236,19204,
1800,272,20508,
1900,400,22948,
2000,265,25238,
2100,312,28271,
2200,306,30278,
2300,325,33700,
2400,337,36204,
2500,366,39424,
2600,531,42832,
2700,387,45952,
2800,466,49275,
2900,424,53689,
3000,444,57660,
3100,548,60884,
3200,492,65968,
3300,513,68766,
3400,474,75539,
3500,549,78053,
3600,513,81489,
3700,554,86774,
3800,596,91545,
3900,554,95442,
4000,581,100793,
4100,603,105730,
4200,639,111546,
4300,646,116736,
4400,654,126842,
4500,747,129432,
4600,723,138130,
4700,698,141488,
4800,725,152960,
4900,781,151773,
5000,805,157042,
5100,749,164512,
5200,755,169603,
5300,782,178106,
5400,771,195094,
5500,812,189762,
5600,816,197325,
5700,847,205001,
5800,829,211383,
5900,851,217849,
6000,853,225703,
6100,877,233789,
6200,924,241126,
6300,1007,248279,
6400,958,256969,
6500,986,265537,
6600,963,293788,
6700,992,283090,
6800,976,289534,
6900,1021,304917,
7000,1247,308210,
7100,1037,314833,
7200,1052,325124,
7300,1054,331792,
7400,1176,343352,
7500,1162,351123,
7600,1146,360701,
7700,1129,374973,
7800,1319,381786,
7900,1173,393325,
8000,1171,401529,
8100,1210,409873,
8200,1339,423556,
8300,1265,431410,
8400,1294,441051,
8500,1354,449321,
8600,1323,527181,
8700,1392,472702,
8800,1376,484061,
8900,1381,505462,
9000,1525,513113,
9100,1366,537176,
9200,1442,528771,
9300,1463,543812,
9400,1446,552272,
9500,1455,562803,
9600,1501,575065,
9700,1469,585226,
9800,1501,596651,
9900,1581,612447,
10000,1540,621756,
