numberOfItems,difference
1000,0.75
1100,0.04
1200,0.21
1300,0.27
1400,0.14
1500,0.3
1600,0.24
1700,0.42
1800,0.07
1900,0.23
2000,0.45
2100,0.2
2200,0.02
2300,0.14
2400,0.41
2500,0.04
2600,0.15
2700,0.0
2800,0.22
2900,0.17
3000,0.08
3100,0.18
3200,0.06
3300,0.07
3400,0.0
3500,0.21
3600,0.0
3700,0.02
3800,0.13
3900,0.04
4000,0.19
4100,0.08
4200,0.18
4300,0.18
4400,0.19
4500,0.05
4600,0.11
4700,0.03
4800,0.08
4900,0.13
5000,0.21
5100,0.03
5200,0.08
5300,0.07
5400,0.06
5500,0.04
5600,0.04
5700,0.01
5800,0.13
5900,0.03
6000,0.08
6100,0.0
6200,0.14
6300,0.13
6400,0.03
6500,0.0
6600,0.08
6700,0.03
6800,0.03
6900,0.04
7000,0.0
7100,0.03
7200,0.26
7300,0.13
7400,0.04
7500,0.09
7600,0.07
7700,0.02
7800,0.1
7900,0.02
8000,0.01
8100,0.02
8200,0.07
8300,0.09
8400,0.03
8500,0.02
8600,0.03
8700,0.04
8800,0.05
8900,0.14
9000,0.02
9100,0.02
9200,0.04
9300,0.08
9400,0.02
9500,0.13
9600,0.02
9700,0.03
9800,0.09
9900,0.01
10000,0.12
